Player_Name,Year,Matches_Batted,Not_Outs,Runs_Scored,Highest_Score,Batting_Average,Balls_Faced,Batting_Strike_Rate,Centuries,Half_Centuries,Fours,Sixes,Catches_Taken,Stumpings,Matches_Bowled,Balls_Bowled,Runs_Conceded,Wickets_Taken,Best_Bowling_Match,Bowling_Average,Economy_Rate,Bowling_Strike_Rate,Four_Wicket_Hauls,Five_Wicket_Hauls
Washington Sundar,2020,15,3,111,30,18.5,95,116.84,0,0,10,2,0,0,15,300,298,8,Feb-16,37.25,5.96,37.5,0,0
Washington Sundar,2019,3,0,1,1,0.5,3,33.33,0,0,0,0,2,0,3,54,74,4,Mar-24,18.5,8.22,13.5,0,0
Washington Sundar,2018,7,3,65,35,21.66,38,171.05,0,0,5,4,0,0,7,120,192,4,Feb-22,48,9.6,30,0,0
Washington Sundar,2017,11,5,9,5*,9,12,75,0,0,0,0,5,0,11,180,185,8,Mar-16,23.12,6.16,22.5,0,0
Will Jacks,2025,13,1,233,53,23.3,172,135.47,0,1,22,11,6,0,13,84,120,6,Feb-14,20,8.57,14,0,0
Will Jacks,2024,8,1,230,100*,32.86,131,175.57,1,1,16,18,3,0,8,54,100,2,Jan-23,50,11.11,27,0,0
Xavier Bartlett,2025,4,0,11,11,11,15,73.33,0,0,1,0,5,0,4,60,96,2,Jan-26,48,9.6,30,0,0
Yash Dayal,2025,15,1,4,3,2,8,50,0,0,0,0,3,0,15,294,470,13,Feb-18,36.15,9.59,22.62,0,0
Yash Dayal,2024,14,0,0,0,0,0,0,0,0,0,0,3,0,14,301,459,15,Mar-20,30.6,9.15,20.07,0,0
Yash Dayal,2023,5,0,0,0,0,0,0,0,0,0,0,1,0,5,84,165,2,Jan-31,82.5,11.79,42,0,0
Yash Dayal,2022,9,0,0,0,0,1,0,0,0,0,0,1,0,9,192,296,11,Mar-40,26.91,9.25,17.45,0,0
Yash Raj Punja,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats
Yash Thakur,2025,2,0,0,0,0,0,0,0,0,0,0,0,0,2,39,79,1,Jan-39,79,12.15,39,0,0
Yash Thakur,2024,10,0,0,0,0,0,0,0,0,0,0,1,0,10,213,402,11,May-30,36.55,11.32,19.36,0,1
Yash Thakur,2023,9,0,0,0,0,0,0,0,0,0,0,1,0,9,191,289,13,Apr-37,22.23,9.08,14.69,1,0
Yashasvi Jaiswal,2025,14,1,559,75,43,350,159.71,0,6,60,28,10,0,14,0,0,0,0,0,0,0,0,0
Yashasvi Jaiswal,2024,16,1,435,104*,31.07,279,155.91,1,1,54,16,4,0,16,0,0,0,0,0,0,0,0,0
Yashasvi Jaiswal,2023,14,1,625,124,48.08,382,163.61,1,5,82,26,8,0,14,0,0,0,0,0,0,0,0,0
Yashasvi Jaiswal,2022,10,0,258,68,25.8,194,132.99,0,2,28,10,2,0,10,1,6,0,0/6,0,36,0,0,0
Yashasvi Jaiswal,2021,10,0,249,50,24.9,168,148.21,0,1,32,10,3,0,10,0,0,0,0,0,0,0,0,0
Yashasvi Jaiswal,2020,3,0,40,34,13.33,44,90.9,0,0,2,2,1,0,3,0,0,0,0,0,0,0,0,0
Yudhvir Singh Charak,2025,4,0,0,0,0,0,0,0,0,0,0,0,0,4,66,131,4,Mar-47,32.75,11.91,16.5,0,0
Yudhvir Singh Charak,2024,2,0,21,14,10.5,14,150,0,0,1,2,0,0,2,24,52,1,Jan-24,52,13,24,0,0
Yudhvir Singh Charak,2023,3,0,1,1,0.5,2,50,0,0,0,0,0,0,3,48,70,3,Feb-19,23.33,8.75,16,0,0
Yuzvendra Chahal,2025,14,0,0,0,0,0,0,0,0,0,0,2,0,14,270,430,16,Apr-28,26.88,9.56,16.88,2,0
Yuzvendra Chahal,2024,15,0,0,0,0,0,0,0,0,0,0,5,0,15,348,546,18,03-Nov,30.33,9.41,19.33,0,0
Yuzvendra Chahal,2023,14,0,0,0,0,0,0,0,0,0,0,1,0,14,317,432,21,Apr-17,20.57,8.18,15.1,3,0
